"filename", "language", "JavaScript", "Markdown", "JSON", "YAML", "PostCSS", "HTML", "JavaScript JSX", "comment", "blank", "total"
"f:\My Projects\SnakrX\scripts\check-deploy-env.cjs", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 10, 58
"f:\My Projects\SnakrX\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 76, 2, 5, 83
"f:\My Projects\SnakrX\src\AppProviders.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"f:\My Projects\SnakrX\src\achievements.test.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 0, 13, 97
"f:\My Projects\SnakrX\src\components\AchievementProgress.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 146, 12, 16, 174
"f:\My Projects\SnakrX\src\components\achievements\AchievementCollectionsSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 7, 66
"f:\My Projects\SnakrX\src\components\achievements\AchievementDetailModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 94, 0, 6, 100
"f:\My Projects\SnakrX\src\components\achievements\AchievementFilters.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 6, 89
"f:\My Projects\SnakrX\src\components\achievements\AchievementGrid.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 62, 0, 3, 65
"f:\My Projects\SnakrX\src\components\achievements\AchievementTierStats.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 3, 34
"f:\My Projects\SnakrX\src\components\achievements\AchievementsOverviewSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 6, 60
"f:\My Projects\SnakrX\src\components\achievements\AchievementsPageBackground.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 3, 20
"f:\My Projects\SnakrX\src\components\achievements\AchievementsPageHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 3, 21
"f:\My Projects\SnakrX\src\components\achievements\UncollectedAchievementsBanner.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 5, 78
"f:\My Projects\SnakrX\src\components\achievements\achievementPageUtils.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 14, 80
"f:\My Projects\SnakrX\src\components\achievements\achievementViewState.js", "JavaScript", 189, 0, 0, 0, 0, 0, 0, 0, 32, 221
"f:\My Projects\SnakrX\src\components\achievements\achievementViewState.test.js", "JavaScript", 177, 0, 0, 0, 0, 0, 0, 0, 11, 188
"f:\My Projects\SnakrX\src\components\achievements\detailModal\ChainAchievementDetail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 202, 0, 14, 216
"f:\My Projects\SnakrX\src\components\achievements\detailModal\ChainAchievementDetail.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 102, 0, 6, 108
"f:\My Projects\SnakrX\src\components\achievements\detailModal\ModalActionButtons.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 3, 84
"f:\My Projects\SnakrX\src\components\achievements\detailModal\RequirementPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 4, 46
"f:\My Projects\SnakrX\src\components\achievements\detailModal\SingleAchievementDetail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 7, 80
"f:\My Projects\SnakrX\src\components\achievements\grid\AchievementGridCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 210, 0, 14, 224
"f:\My Projects\SnakrX\src\components\achievements\grid\AchievementGridEmptyState.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 3, 33
"f:\My Projects\SnakrX\src\components\achievements\grid\AchievementGridProgressBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 2, 29
"f:\My Projects\SnakrX\src\components\achievements\grid\achievementGridState.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 4, 89
"f:\My Projects\SnakrX\src\components\admin\AdminStats.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 42, 3, 5, 50
"f:\My Projects\SnakrX\src\components\admin\AdminTabs.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 47, 3, 3, 53
"f:\My Projects\SnakrX\src\components\admin\AnalyticsTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 76, 3, 5, 84
"f:\My Projects\SnakrX\src\components\admin\MatchHistoryTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 86, 3, 8, 97
"f:\My Projects\SnakrX\src\components\admin\SupportTicketsTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 100, 0, 10, 110
"f:\My Projects\SnakrX\src\components\admin\SupportTicketsTab.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 6, 56
"f:\My Projects\SnakrX\src\components\admin\UsersTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 171, 8, 15, 194
"f:\My Projects\SnakrX\src\components\admin\index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 4, 2, 12
"f:\My Projects\SnakrX\src\components\admin\supportTickets\SupportTicketCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 152, 0, 12, 164
"f:\My Projects\SnakrX\src\components\admin\supportTickets\SupportTicketsFilters.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 4, 47
"f:\My Projects\SnakrX\src\components\admin\supportTickets\SupportTicketsSummary.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 5, 48
"f:\My Projects\SnakrX\src\components\admin\supportTickets\constants.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"f:\My Projects\SnakrX\src\components\admin\supportTickets\helpers.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 11, 66
"f:\My Projects\SnakrX\src\components\admin\supportTickets\helpers.test.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 7, 51
"f:\My Projects\SnakrX\src\components\auth\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 30, 8, 7, 45
"f:\My Projects\SnakrX\src\components\auth\ProtectedRoute.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 11, 82
"f:\My Projects\SnakrX\src\components\auth\PublicRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 14, 7, 6, 27
"f:\My Projects\SnakrX\src\components\auth\login\LoginPageBackground.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 3, 21
"f:\My Projects\SnakrX\src\components\auth\login\LoginPageHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 3, 27
"f:\My Projects\SnakrX\src\components\auth\login\LoginPageLinks.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 5, 44
"f:\My Projects\SnakrX\src\components\auth\login\LoginProgressIndicator.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 3, 30
"f:\My Projects\SnakrX\src\components\auth\login\LoginStepIdentifier.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 69, 0, 5, 74
"f:\My Projects\SnakrX\src\components\auth\login\LoginStepPassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 102, 0, 6, 108
"f:\My Projects\SnakrX\src\components\auth\login\loginValidation.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"f:\My Projects\SnakrX\src\components\auth\login\loginValidation.test.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
"f:\My Projects\SnakrX\src\components\auth\register\RegisterPageBackground.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 3, 21
"f:\My Projects\SnakrX\src\components\auth\register\RegisterPageHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 3, 27
"f:\My Projects\SnakrX\src\components\auth\register\RegisterPageLinks.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 4, 36
"f:\My Projects\SnakrX\src\components\auth\register\RegisterProgressIndicator.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 3, 37
"f:\My Projects\SnakrX\src\components\auth\register\RegisterStepAccountDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 135, 0, 6, 141
"f:\My Projects\SnakrX\src\components\auth\register\RegisterStepEmailVerification.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 121, 0, 6, 127
"f:\My Projects\SnakrX\src\components\auth\register\RegisterStepPassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 173, 0, 9, 182
"f:\My Projects\SnakrX\src\components\auth\register\registerUtils.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"f:\My Projects\SnakrX\src\components\auth\register\registerUtils.test.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"f:\My Projects\SnakrX\src\components\game\AchievementUnlockModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 3, 28
"f:\My Projects\SnakrX\src\components\game\GameBoard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 113, 0, 12, 125
"f:\My Projects\SnakrX\src\components\game\GameBoard.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 4, 25
"f:\My Projects\SnakrX\src\components\game\GameBonusFoodToggle.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 2, 51
"f:\My Projects\SnakrX\src\components\game\GameClassicOptions.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 3, 51
"f:\My Projects\SnakrX\src\components\game\GameControls.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 6, 60
"f:\My Projects\SnakrX\src\components\game\GameControls.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 93, 0, 21, 114
"f:\My Projects\SnakrX\src\components\game\GameDeveloperHud.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 4, 30
"f:\My Projects\SnakrX\src\components\game\GameDeveloperHud.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 7, 43
"f:\My Projects\SnakrX\src\components\game\GameLegend.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 6, 28
"f:\My Projects\SnakrX\src\components\game\GameMobileWarningModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 3, 45
"f:\My Projects\SnakrX\src\components\game\GameModeConfigurationPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 188, 0, 18, 206
"f:\My Projects\SnakrX\src\components\game\GameModeGrid.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 89, 0, 7, 96
"f:\My Projects\SnakrX\src\components\game\GameModeQuickStats.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 3, 22
"f:\My Projects\SnakrX\src\components\game\GamePageBackground.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 3, 20
"f:\My Projects\SnakrX\src\components\game\GamePageHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"f:\My Projects\SnakrX\src\components\game\GameReadyOverlay.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 85, 0, 5, 90
"f:\My Projects\SnakrX\src\components\game\GameResultModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 90, 0, 3, 93
"f:\My Projects\SnakrX\src\components\game\GameSessionBackground.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"f:\My Projects\SnakrX\src\components\game\GameSessionBackground.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"f:\My Projects\SnakrX\src\components\game\GameSidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 85, 0, 4, 89
"f:\My Projects\SnakrX\src\components\game\GameSidebar.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 65, 0, 12, 77
"f:\My Projects\SnakrX\src\components\game\GameStage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 97, 0, 3, 100
"f:\My Projects\SnakrX\src\components\game\GameStage.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 91, 0, 14, 105
"f:\My Projects\SnakrX\src\components\game\InputPerformanceMonitor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 150, 6, 19, 175
"f:\My Projects\SnakrX\src\components\game\InputPerformanceMonitor.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 57, 0, 11, 68
"f:\My Projects\SnakrX\src\components\game\gameBoard\BoardFoodLayer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 107, 0, 11, 118
"f:\My Projects\SnakrX\src\components\game\gameBoard\BoardFoodLayer.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 13, 81
"f:\My Projects\SnakrX\src\components\game\gameBoard\BoardSnakeLayer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 97, 0, 12, 109
"f:\My Projects\SnakrX\src\components\game\gameBoard\BoardSnakeLayer.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 10, 63
"f:\My Projects\SnakrX\src\components\game\gameBoard\PauseOverlay.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 4, 19
"f:\My Projects\SnakrX\src\components\game\gameBoard\boardSizing.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"f:\My Projects\SnakrX\src\components\game\gameBoard\constants.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"f:\My Projects\SnakrX\src\components\game\gameBoard\useResponsiveBoardScale.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 10, 39
"f:\My Projects\SnakrX\src\components\game\gameControls\FloatingGameHUD.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 5, 48
"f:\My Projects\SnakrX\src\components\game\gameControls\GameActionButtons.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 7, 61
"f:\My Projects\SnakrX\src\components\game\gameControls\GameOverOverlay.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 8, 68
"f:\My Projects\SnakrX\src\components\game\gameControls\GameStatsPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 103, 0, 11, 114
"f:\My Projects\SnakrX\src\components\game\gameControls\KeyboardHelpCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 3, 16
"f:\My Projects\SnakrX\src\components\game\gameControls\TouchControlsPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 7, 78
"f:\My Projects\SnakrX\src\components\game\gameControls\gameControlUtils.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"f:\My Projects\SnakrX\src\components\game\gamePageComponents.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 115, 0, 18, 133
"f:\My Projects\SnakrX\src\components\game\gamePageConfig.js", "JavaScript", 161, 0, 0, 0, 0, 0, 0, 0, 12, 173
"f:\My Projects\SnakrX\src\components\game\gamePageMeta.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"f:\My Projects\SnakrX\src\components\help\HelpBackground.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 3, 20
"f:\My Projects\SnakrX\src\components\help\HelpFaqSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 3, 48
"f:\My Projects\SnakrX\src\components\help\HelpPageHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 3, 21
"f:\My Projects\SnakrX\src\components\help\HelpSectionContent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 3, 29
"f:\My Projects\SnakrX\src\components\help\HelpSidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 4, 45
"f:\My Projects\SnakrX\src\components\help\helpComponents.test.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 8, 56
"f:\My Projects\SnakrX\src\components\help\helpData.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 4, 86
"f:\My Projects\SnakrX\src\components\help\sections\AccountHelpSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 6, 80
"f:\My Projects\SnakrX\src\components\help\sections\AchievementsHelpSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 8, 63
"f:\My Projects\SnakrX\src\components\help\sections\ControlsHelpSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 85, 0, 10, 95
"f:\My Projects\SnakrX\src\components\help\sections\GameModesHelpSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 80, 0, 7, 87
"f:\My Projects\SnakrX\src\components\help\sections\GettingStartedHelpSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 69, 0, 7, 76
"f:\My Projects\SnakrX\src\components\help\sections\TroubleshootingHelpSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 7, 90
"f:\My Projects\SnakrX\src\components\home\HomeAchievementsPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 76, 0, 5, 81
"f:\My Projects\SnakrX\src\components\home\HomeActionPanels.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 61, 0, 6, 67
"f:\My Projects\SnakrX\src\components\home\HomeBackground.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 3, 26
"f:\My Projects\SnakrX\src\components\home\HomeFirstGameCta.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 4, 36
"f:\My Projects\SnakrX\src\components\home\HomeGameModesSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 8, 95
"f:\My Projects\SnakrX\src\components\home\HomeHeroSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 7, 78
"f:\My Projects\SnakrX\src\components\home\TypewriterText.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 6, 36
